name	length	8Cell_SRR17972758_Rep1_R1	8Cell_SRR17972759_Rep2_R1	8Cell_SRR17972760_Rep3_R1	8Cell_SRR17972761_Rep4_R1	8Cell_SRR17972762_Rep5_R1	8Cell_SRR17972763_Rep6_R1	8Cell_SRR17972764_Rep7_R1	8Cell_SRR17972765_Rep8_R1	8Cell_SRR17972820_Rep9_R1	8Cell_SRR17972821_Rep10_R1	8Cell_SRR17972822_Rep11_R1	8Cell_SRR17972832_Rep12_R1	8Cell_SRR17972833_Rep13_R1	8Cell_SRR17972834_Rep14_R1	8Cell_SRR17972835_Rep15_R1	8Cell_SRR17972836_Rep16_R1	8Cell_SRR17972837_Rep17_R1	8Cell_SRR17972838_Rep18_R1	8Cell_SRR17972839_Rep19_R1	8Cell_SRR17972840_Rep20_R1	8Cell_SRR17972841_Rep21_R1	8Cell_SRR17972842_Rep22_R1	8Cell_SRR17972843_Rep23_R1
ABCA3	6603	7	0	506	439	7	828	1205	0	17	5	6	714	317	1075	0	483	163	375	7	100	2	84	41
ABCA4	7708	0	1	0	0	131	0	0	0	15	7	3	28	159	130	235	47	155	150	422	30	434	1	84
ABCA5	5292	0	0	0	0	0	0	0	1	97	72	176	0	0	0	0	0	34	48	0	14	0	0	0
ABCA6	6853	6	0	157	0	17	0	0	0	230	429	134	159	0	103	303	0	3	22	175	0	137	0	2
ABCA7	7545	0	105	12	0	463	0	0	0	3	2	17	34	0	0	120	542	171	112	543	0	0	1	2
ABCA9	8393	0	0	0	0	1	0	0	0	16	7	1	32	0	0	0	0	0	16	0	0	0	0	0
ABCB10	4096	425	1255	1345	1100	1078	711	2246	1201	117	91	155	2434	2018	2530	2136	1926	2270	2153	6721	4024	2650	1718	1380
ABCB11	6493	0	0	0	0	0	0	0	0	35	70	22	0	0	8	0	0	0	34	0	0	0	0	0
ABCB1	4460	1062	2028	855	472	998	75	303	130	2001	1790	1507	293	201	595	144	52	118	179	288	590	275	307	82
ABCB4	3997	0	0	0	0	3	11	0	0	44	57	32	0	66	0	0	30	0	0	74	0	0	0	0
ABCB5	4834	0	0	1	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	3248	550	2	1326	367	365	0	1	0	105	84	184	553	0	294	1	120	0	56	0	1	0	697	0
ABCB7	3976	0	0	0	0	103	0	127	0	184	385	369	0	18	6	107	22	1	67	48	0	64	200	51
ABCB8	4216	1400	2105	1962	522	2111	1863	2960	2798	87	52	57	899	1427	1147	1329	1349	1335	674	591	231	802	539	647
ABCB9	3641	3	0	108	0	78	0	637	0	3	0	6	0	0	0	29	215	28	0	0	181	0	208	0
ABCC10	5219	2	0	2	0	72	0	832	0	14	12	8	0	0	24	560	242	83	267	313	3	0	1842	0
ABCC11	5248	0	0	0	0	0	0	0	0	7	13	7	0	0	0	0	0	0	0	1	0	0	0	0
ABCC12	4849	71	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	6267	8	260	1734	1495	423	215	2069	267	78	71	79	3003	1423	2518	1079	3182	782	469	744	1958	1139	514	314
ABCC2	9964	0	0	27	257	474	47	0	0	128	71	99	2	400	98	9	234	284	377	521	479	316	287	139
ABCC3	5111	80	0	0	0	0	0	0	0	25	28	114	477	0	0	0	0	0	58	0	116	0	0	0
ABCC5	11089	136	460	424	1388	201	1060	0	0	633	691	462	207	0	40	265	25	351	70	0	0	116	87	0
ABCC6	5263	0	0	7	0	0	0	0	0	2	7	0	0	0	371	0	4	0	0	0	0	0	0	0
ABCC8	5062	0	0	0	0	0	0	210	0	0	0	0	0	0	0	339	1	0	1	0	0	264	0	0
ABCC9	9338	0	0	0	0	0	0	0	0	14	35	10	0	0	0	0	0	0	48	0	0	0	0	0
ABCD1	3534	0	0	77	0	0	4	38	0	0	0	2	0	102	0	0	59	0	0	100	0	0	7	0
ABCD2	1359	0	0	0	0	0	0	0	0	21	42	26	0	2	0	0	0	0	0	0	0	0	1	0
ABCD3	3455	11	0	64	278	0	49	1	294	479	441	598	204	79	183	15	91	142	112	24	40	129	0	53
ABCD4	3453	246	0	2	186	143	0	1278	218	71	38	101	2	0	1	305	126	2	219	96	92	1	0	3
ABCE1	3844	779	33	502	284	200	34	298	0	2083	2763	2107	37	2	49	378	12	1	68	11	3	0	522	1
ABCF1	3506	784	1329	1289	706	882	725	111	169	918	1067	712	373	610	357	241	498	656	822	482	191	94	1414	149
ABCF2	2698	3490	4855	3098	1049	2326	3008	2656	1126	677	582	595	4272	4078	6705	4323	8796	8524	10827	13578	4233	1757	5348	160
ABCF3	3083	4558	3028	9483	7223	3105	3129	7391	299	762	634	453	11535	4284	7156	7791	11226	7120	3689	8291	3070	2673	3865	368
ABCG1	7524	0	0	0	0	0	0	1099	0	7	2	0	0	0	0	0	155	0	432	0	0	0	0	0
ABCG2	4179	0	33	215	0	0	0	5	8	176	144	267	0	0	0	0	0	0	8	0	70	0	1	0
ABCG4	3768	0	1102	0	0	0	0	0	0	2	3	0	1079	53	201	510	2	0	268	22	1	39	0	0
ABCG5	2091	64	0	47	639	0	0	0	3	33	6	13	0	0	27	141	196	0	0	233	1	49	445	0
ABCG8	2791	0	1	484	1	1	375	1533	870	11	6	8	834	1590	1893	698	1432	1172	1003	2562	1274	15	3	0
ABHD10	1410	88	791	147	0	339	0	0	0	874	1292	771	137	195	362	137	134	140	204	181	142	26	22	210
ABHD11	1145	4107	4570	5453	6710	5467	4348	6064	3515	686	810	1040	4082	4591	4112	1837	2274	5838	2737	7292	5822	3203	1771	1230
ABHD1	1412	0	0	0	0	0	0	0	0	15	25	29	0	236	125	0	2	0	1	0	0	19	0	0
ABHD12	3983	360	28	1894	1161	1962	1695	1444	65	147	134	301	703	1092	573	911	1395	927	975	2186	1132	8	31	6
ABHD12B	2108	0	0	0	0	0	0	0	0	41	30	98	0	0	0	0	0	0	0	8	0	0	0	0
ABHD13	5276	286	10	29	0	29	0	92	0	343	470	294	0	0	0	0	1	0	13	256	0	0	118	23
ABHD14A	1919	1551	0	333	392	1104	230	1	0	46	63	124	72	652	261	1	50	56	134	0	0	0	0	0
ABHD14B	2627	23	0	718	865	1	50	597	0	35	42	84	0	29	0	1	156	271	1	646	0	3	0	28
ABHD15	1464	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0
ABHD16A	2079	4	937	1671	857	358	641	1294	1572	110	82	164	1518	658	664	148	653	911	536	378	71	784	1659	0
ABHD16B	1685	1	881	165	0	251	0	0	0	1	0	2	324	46	71	0	181	49	199	799	271	381	0	0
ABHD17A	1477	2019	759	2442	1170	3298	1726	1714	929	122	119	147	2327	2475	1917	3097	2751	3749	4869	7811	4092	3087	1132	1616
ABHD17B	2636	0	0	0	239	0	8	0	0	319	329	281	85	4	0	0	32	0	148	239	203	0	326	48
ABHD17C	2290	413	0	346	0	357	309	710	0	149	98	112	175	269	352	137	62	323	363	608	149	1	64	0
ABHD18	3595	202	0	509	379	519	10	1126	0	1317	1065	749	586	327	160	238	299	178	267	292	223	48	1212	623
ABHD2	7919	594	0	250	467	617	12	58	0	197	141	415	28	0	277	0	156	100	0	230	1	0	31	0
ABHD3	1916	0	379	411	1084	157	407	0	0	176	258	367	138	0	134	0	0	9	0	114	151	126	2	10
ABHD4	2559	74	2	3244	554	1273	1739	634	3863	118	63	162	3603	1776	2878	1857	4877	2031	3465	5964	1196	660	568	1073
ABHD5	2959	365	0	13	10	133	0	0	38	202	212	117	0	0	0	0	45	0	0	0	0	21	6	0
ABHD6	2179	112	327	369	1	268	494	742	371	56	46	73	1031	12	685	693	1431	456	786	1832	148	381	167	0
ABHD8	1910	545	635	664	1940	508	1325	78	3	13	9	17	1118	964	361	822	911	1179	891	1271	1083	584	432	1
ABI1	4590	621	1613	529	0	1287	208	356	0	1683	1554	1197	224	691	203	241	283	146	308	791	756	408	812	533
ABI2	6297	0	560	17	0	86	0	0	0	137	74	294	37	0	9	4	1	95	222	107	136	33	3	6
ABI3	1389	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	84	0	0	0	0	0	0
ABI3BP	5967	0	1144	16	0	1	0	0	0	198	107	48	0	0	33	4	23	0	1	95	153	121	64	269
ABL1	5757	74	199	2255	686	3723	701	4548	611	229	83	134	8258	1112	9985	2712	8574	1635	8977	3880	3026	1940	4448	2448
ABL2	13773	1	0	735	0	18	3	138	0	275	320	277	3	54	0	50	5	0	7	164	59	0	46	135
ABLIM1	8479	276	1	382	623	816	353	548	97	514	644	377	1040	889	1253	653	1007	262	1567	1411	984	1219	1142	447
ABLIM2	5347	0	0	179	0	0	0	0	0	2	0	0	0	0	22	129	112	4	4	72	0	0	77	0
ABLIM3	4656	216	41	886	4	872	82	1	464	94	147	169	663	34	1212	2882	2251	234	1578	2892	1317	922	624	8
ABO	2572	0	0	0	0	0	0	0	0	3	9	0	0	0	0	34	0	0	54	69	37	115	0	7
ABR	8010	223	449	1245	4	796	700	388	585	247	227	309	1978	904	4512	1026	3905	1431	3319	1901	685	147	1043	108
ABRA	1671	0	0	0	0	0	0	0	0	25	15	3	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	842	0	0	0	16	0	0	8	0	330	269	396	0	0	31	0	29	30	0	0	3	0	0	0
ABRAXAS1	2629	140	13	29	559	171	0	1	0	1034	1014	708	27	0	42	132	78	105	27	6	37	44	4	95
ABRAXAS2	2954	592	978	508	0	312	552	1	0	641	555	453	166	0	57	283	0	1	3	80	0	32	856	6
ABT1	2201	1553	1431	1752	1415	1130	744	374	0	384	322	326	2882	3558	3054	1511	2840	3931	5367	9486	3255	1240	3794	709
ABTB1	2351	4544	308	5482	1970	3230	2093	2816	1363	154	172	171	2916	1241	1392	3609	1361	656	996	3241	554	1277	1523	2072
ABTB2	5224	1	156	1127	0	75	455	1246	196	42	41	35	1109	89	1493	185	785	466	448	443	1172	1158	299	290
ACAA1	1618	146	4	3223	4570	1796	3077	1971	2748	132	101	234	891	1686	1286	370	2616	1871	2684	1917	938	93	6	866
ACAA2	1581	1253	1307	717	1	118	64	9	1	1077	1147	1538	69	14	276	0	0	0	0	110	135	293	1	0
ACACA	10293	665	297	443	15	38	26	212	0	185	107	215	456	42	120	18	38	187	0	9	839	17	7	35
ACACB	10457	57	1	19	0	252	0	71	103	27	11	7	1971	269	978	463	1241	1521	699	1413	89	194	135	126
ACAD10	6212	0	0	0	0	0	0	0	0	34	14	34	0	0	0	0	91	0	0	0	150	0	0	0
ACAD11	3499	0	0	3	0	40	0	0	0	157	93	211	8	0	2	0	0	0	0	127	9	59	10	0
ACAD8	1700	752	0	543	0	218	139	215	0	130	135	165	9	86	313	132	188	79	0	0	159	10	106	640
ACAD9	2793	102	0	317	3	9	272	215	196	27	38	51	263	688	706	0	279	14	273	1399	1	0	1	1
ACADL	2846	0	0	0	0	0	0	0	0	87	60	138	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	2235	114	0	115	0	126	0	206	0	487	486	540	0	230	0	0	0	0	0	0	0	0	0	0
ACADS	2005	581	1010	1513	778	1959	1424	1107	867	39	20	97	1681	507	1531	1166	1879	2405	832	4239	189	1175	24	9
ACADSB	4389	0	688	59	5	0	1	26	200	269	218	666	0	57	39	7	111	50	228	68	5	139	0	126
ACADVL	2246	89	1	683	1546	341	9	2178	0	160	127	301	1028	61	1083	369	1525	336	792	614	443	92	51	0
ACAN	8380	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	3	288	1	0	0	0
ACAP1	5407	281	476	918	2304	327	1423	2567	1467	194	195	75	864	1362	636	951	391	525	336	505	108	633	188	66
ACAP2	1593	11	110	1	154	0	120	0	193	234	139	318	0	0	105	80	64	5	21	107	2	91	271	396
ACAP3	5028	269	0	57	0	77	0	0	0	4	16	25	3	0	1	0	64	0	21	548	54	0	0	0
ACAT1	1549	224	951	542	0	242	52	206	0	3554	3478	4733	163	143	43	34	50	108	113	283	314	204	158	129
ACAT2	1664	500	3	2160	450	726	775	709	1547	1704	1931	4059	2302	951	1195	222	878	601	1310	1718	1192	945	796	0
ACBD3	3898	88	272	154	6	107	132	26	92	1058	1070	789	26	39	91	41	35	43	159	165	187	0	90	100
ACBD4	4030	13	236	171	237	732	899	596	0	9	8	5	597	441	444	373	901	379	886	2460	547	983	1	1
ACBD5	3909	173	1	462	156	555	381	26	0	512	609	479	85	0	62	234	39	71	57	11	32	34	0	1
ACBD6	1492	15	0	9	0	22	0	137	0	49	48	100	29	1	0	59	17	0	48	0	146	12	277	0
ACBD7	1694	0	0	0	458	0	0	0	0	77	70	104	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	2403	0	0	21	0	0	0	0	0	8	17	27	0	101	138	0	47	0	77	358	20	192	8	0
ACCSL	2414	5036	2392	18621	12648	19081	14415	34668	6579	1334	905	856	59949	23684	87569	57343	118716	61627	112062	134894	31335	14918	45465	9052
ACD	1778	309	622	1607	525	356	716	2816	921	79	46	44	650	1700	1780	1074	1678	547	1791	4477	1120	1335	317	1781
ACE2	4061	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE3	2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE	4671	0	0	172	608	0	0	8	0	5	0	0	391	0	0	0	140	0	24	19	45	14	0	8
ACER1	3051	0	0	0	0	0	12	0	0	5	11	17	0	0	0	0	0	0	0	42	0	0	0	0
ACER2	8643	0	0	1	0	155	59	0	0	70	49	31	0	0	0	0	0	331	149	0	0	41	0	0
ACER3	2926	237	645	297	303	291	234	316	83	1704	1396	949	104	0	68	288	145	0	148	112	0	39	275	87
ACHE	4224	0	0	150	0	0	0	0	0	2	6	3	11	0	0	0	0	0	0	54	0	0	0	0
ACIN1	5096	886	525	1961	989	1025	1236	397	887	752	1246	670	702	389	335	475	315	411	313	600	723	558	585	584
ACKR1	1014	0	0	0	0	0	0	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	9839	3	0	72	0	0	178	0	0	52	55	13	0	0	200	0	0	21	100	38	0	0	0	0
ACKR3	1730	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	3365	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ACLY	4446	282	1221	3516	713	1058	733	1979	412	1448	1080	1816	3294	3502	6557	6104	3898	2460	4539	3795	286	1071	1469	1861
ACMSD	1787	0	0	85	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	3948	63	34	2	134	2	157	0	69	113	100	258	419	14	351	146	272	148	343	271	623	98	164	9
ACO2	2744	1846	1709	5011	3183	3205	743	5287	1302	406	335	600	3420	1391	4406	1782	4754	1489	3197	5059	1506	218	52	100
ACOD1	3020	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0
ACOT11	2619	1	0	134	0	170	0	0	0	5	2	0	0	0	163	0	236	0	57	152	95	0	0	0
ACOT12	1794	0	0	4	0	89	0	0	0	36	24	7	0	0	13	0	0	0	0	0	15	0	0	0
ACOT13	1763	0	1	0	0	0	0	0	0	186	196	499	0	0	0	0	0	0	0	0	0	0	0	0
ACOT2	5967	921	18	142	0	357	0	152	720	77	134	108	160	414	357	426	410	40	540	568	3	136	0	0
ACOT4	1611	0	0	0	0	0	0	11	0	42	79	177	0	0	0	0	0	0	0	0	6	0	0	0
ACOT6	1990	3	0	0	0	0	0	0	0	8	4	18	0	1	31	0	1	0	0	0	99	0	0	0
ACOT7	3132	1252	230	1695	1	645	471	1112	1819	307	310	506	15	72	1322	733	847	520	600	2094	1630	1150	21	538
ACOT8	1963	373	254	380	0	158	204	338	0	49	37	49	438	430	259	681	204	269	299	871	474	1	1	1
ACOT9	1655	1331	269	1751	0	272	87	104	0	1199	1447	1285	1	0	246	103	1276	484	695	389	347	0	0	0
ACOX1	6337	12	0	69	0	151	0	1	0	587	625	673	0	0	0	0	90	0	0	47	0	0	0	0
ACOX2	3208	0	0	0	0	0	37	0	0	64	25	90	335	0	0	0	0	52	1	0	0	76	0	0
ACOX3	4221	0	0	18	0	137	0	4	0	11	9	23	0	1	0	0	204	1	44	26	0	0	0	0
ACOXL	4504	0	0	0	0	0	0	0	0	5	7	2	0	0	0	0	1	0	191	0	0	0	0	0
ACP1	1345	964	2	410	1307	644	303	0	1224	1802	1802	1705	393	379	282	4	366	122	313	847	276	37	433	969
ACP2	5886	0	0	0	2	0	45	0	0	8	5	23	413	2	307	1	24	48	0	0	0	0	0	0
ACP4	1362	0	0	67	0	0	113	0	112	5	4	19	0	74	84	130	0	51	0	0	72	34	0	0
ACP5	1962	306	683	151	0	0	0	0	0	1	9	7	153	310	0	0	0	0	104	115	0	0	0	0
ACP6	1813	1136	1	1663	736	1817	1332	2313	567	127	220	108	2035	2342	3322	2611	3393	1664	2501	3563	1639	1297	221	2
ACP7	1317	0	0	199	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	3337	0	0	0	0	0	0	0	0	3	17	11	47	0	0	0	0	0	2	0	0	0	0	0
ACR	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	1893	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	1171	0	0	295	0	122	0	0	0	14	22	6	0	0	155	0	153	0	210	0	262	39	0	0
ACSBG1	2900	0	0	0	0	0	0	0	0	0	0	8	0	41	0	0	0	0	0	0	0	0	0	0
ACSBG2	2951	0	0	0	0	0	0	0	0	0	1	1	0	0	0	255	0	0	0	152	0	0	0	0
ACSF2	2011	993	0	0	0	0	0	0	0	94	80	230	0	0	0	0	0	0	0	0	8	0	0	0
ACSF3	2438	27	8	117	0	0	0	686	0	8	14	13	223	20	1	0	466	240	0	1144	0	0	0	0
ACSL1	4824	3729	2011	1747	1370	3088	112	2	0	932	703	378	0	677	36	538	107	278	123	38	132	189	2	136
ACSL3	4381	25	0	217	900	29	0	379	27	631	488	923	166	15	39	4	143	0	74	184	176	608	562	124
ACSL4	5496	41	1	9	26	34	0	0	1000	3082	3058	4749	4	0	0	16	7	0	4	4	0	14	9	0
ACSL5	2891	0	0	0	0	144	0	0	0	20	4	10	56	0	0	187	289	0	1	231	1	0	92	16
ACSL6	6223	49	0	122	0	1	72	0	87	49	72	69	0	236	0	0	0	219	158	0	0	183	16	0
ACSM1	2419	0	0	0	0	0	0	0	0	10	3	4	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	3089	0	0	0	0	0	0	0	0	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	2144	0	0	0	0	0	0	0	0	64	130	58	0	0	0	0	12	0	0	0	0	0	0	0
ACSM4	5942	0	0	0	0	0	0	0	0	8	1	7	0	0	0	0	0	0	0	0	0	0	12	0
ACSM5	2946	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	3458	5197	1897	8423	4019	2659	2553	2007	266	223	179	87	2895	1124	1602	1268	1156	2107	1582	988	792	97	1218	2
ACSS2	2993	651	0	166	0	668	628	0	941	198	206	334	165	0	121	0	253	52	0	105	1	157	62	21
ACSS3	4559	0	0	35	0	0	0	140	0	102	53	310	0	0	0	0	0	0	1	0	0	0	0	0
ACTA1	1623	0	1	157	345	710	300	0	1	54	41	46	221	255	132	0	91	0	48	144	177	269	0	0
ACTA2	2059	632	0	1415	376	580	811	1	0	453	194	4625	467	552	179	0	255	133	8	421	8	1	846	221
ACTB	1832	55016	34821	69624	44420	37745	22930	35376	28011	10753	10901	27530	39572	32037	32409	34769	35633	42031	43139	93609	26154	21748	36082	8043
ACTBL2	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	1391	0	1	0	0	0	0	0	0	63	222	225	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	1956	11820	9601	22865	8934	11530	2162	7813	3901	9416	9111	37634	6718	2061	5004	3174	2334	1949	2867	5785	2603	1196	199	1128
ACTG2	1287	0	0	547	0	322	0	367	0	734	368	2439	290	0	0	0	128	0	0	0	0	0	0	0
ACTL6A	1920	116	133	244	135	415	0	174	417	925	648	980	17	256	315	69	285	92	234	89	159	92	1	211
ACTL6B	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	427	0
ACTL7A	1521	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	1407	0	0	0	0	0	0	0	1	0	0	1	0	268	0	0	83	54	0	307	158	1	0	0
ACTL8	1855	178	430	211	1	841	171	505	980	4	0	0	1405	1343	2677	897	2149	1548	818	3390	653	546	253	0
ACTL9	1441	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	77	0	0	0	0	0	0	0
ACTN1	3853	4093	199	4572	3255	1229	1528	1838	690	460	298	306	2562	2161	3040	4406	5367	3337	2782	4205	1243	658	299	2069
ACTN2	2925	0	0	0	0	0	0	0	0	21	20	45	0	0	0	0	0	31	5	0	81	0	0	75
ACTN3	2996	47	0	237	0	0	0	0	0	24	39	20	0	0	12	0	7	2	0	0	200	0	0	0
ACTN4	4623	214	0	789	7	20	670	74	406	80	66	42	152	581	798	294	1633	613	743	246	653	237	395	247
ACTR10	1553	421	189	441	315	155	0	0	1	2135	2147	2875	1	37	88	0	80	1	53	0	52	0	0	91
ACTR1A	2909	2419	2892	8015	4094	1038	1412	2843	1486	354	258	934	5005	2457	7334	1284	6612	5707	7927	8647	2427	769	1122	1171
ACTR1B	2590	0	0	510	0	0	59	0	0	33	20	30	32	9	0	177	11	2	28	0	1	0	0	0
ACTR2	2751	342	259	522	0	182	472	21	119	2427	2038	2567	390	2	244	107	66	112	121	288	514	302	643	21
ACTR3	2506	27	1	217	296	10	5	0	0	2361	2480	3218	38	11	11	1	95	103	150	140	66	95	0	13
ACTR3B	5207	46	0	0	0	150	0	1	0	28	25	35	0	0	46	240	39	101	99	46	79	53	0	0
ACTR5	3182	91	513	2146	470	645	309	1378	927	234	358	212	440	1335	531	992	823	951	1023	885	344	612	640	1142
ACTR6	1868	122	0	59	0	0	0	0	0	1465	1663	1026	34	15	6	0	0	105	25	0	1	0	0	0
ACTR8	2196	33	0	0	0	0	45	0	11	202	267	226	2	0	0	17	1	140	0	0	62	0	0	89
ACTRT2	1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	2438	0	1	0	34	0	228	0	0	111	131	147	0	0	129	711	15	0	34	0	0	30	10	1
ACVR1	3087	0	1	0	377	33	112	21	0	148	144	227	42	50	228	142	195	14	327	42	338	285	291	3
