name	length	Morula_SRR17972742_Rep1_R1	Morula_SRR17972743_Rep1_R1	Morula_SRR17972744_Rep1_R1	Morula_SRR17972745_Rep1_R1	Morula_SRR17972746_Rep1_R1	Morula_SRR17972747_Rep1_R1	Morula_SRR17972748_Rep1_R1	Morula_SRR17972749_Rep1_R1	Morula_SRR17972750_Rep1_R1	Morula_SRR17972751_Rep1_R1	Morula_SRR17972752_Rep1_R1	Morula_SRR17972753_Rep1_R1	Morula_SRR17972754_Rep1_R1	Morula_SRR17972755_Rep1_R1	Morula_SRR17972756_Rep1_R1	Morula_SRR17972757_Rep1_R1	Morula_SRR17972786_Rep1_R1	Morula_SRR17972787_Rep1_R1	Morula_SRR17972788_Rep1_R1	Morula_SRR17972789_Rep1_R1	Morula_SRR17972817_Rep1_R1	Morula_SRR17972818_Rep1_R1	Morula_SRR17972819_Rep1_R1
AANAT	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAR2	2771	3488	214	1428	339	2240	81	0	372	817	153	1657	44	114	273	9	1	2170	1510	2641	768	117	135	117
AARD	1909	0	0	138	0	0	0	0	0	26	0	6	0	26	0	0	0	0	0	0	0	11	16	12
AARS2	3918	560	8	5	101	63	1	4	1	0	0	29	9	10	2	2	0	66	177	28	0	38	58	65
AARS	3757	1267	731	3092	685	655	124	1627	1	152	56	1283	91	177	510	205	164	6669	915	3591	343	468	812	732
AARSD1	3526	3570	3247	3692	865	2875	141	914	2334	923	119	1697	1210	1016	459	984	27	3795	5097	7372	145	1493	1717	1712
AASDH	4068	0	64	65	85	599	0	0	0	29	61	6	238	45	1	3	0	50	16	101	0	285	351	305
AASDHPPT	6708	914	501	528	249	326	132	279	420	169	59	90	277	125	150	362	21	1212	545	842	130	2120	2249	2367
AASS	8645	65	0	0	23	1	0	2	0	61	0	2	20	0	1	4	2	3	0	0	0	60	91	110
AATF	2578	126	46	179	132	131	146	6	174	3	20	13	57	66	128	509	21	1	599	222	0	290	458	391
AATK	5631	0	0	0	0	0	0	183	0	0	0	167	0	56	0	0	2	0	9	0	0	0	0	7
ABAT	5430	0	0	0	0	0	0	0	0	0	0	166	0	16	0	1	0	3	0	50	0	10	39	2
ABCA10	6823	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	9	2
ABCA1	11663	389	176	175	244	477	36	176	439	24	88	83	384	377	112	29	4	2026	82	596	122	569	949	691
ABCA12	8022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	28	5	2
ABCA13	8372	0	0	0	0	0	0	0	0	0	30	0	7	2	125	3	0	0	0	0	0	0	0	0
ABCA2	8962	15	0	4	7	0	0	20	0	2	2	25	12	40	0	0	0	0	62	0	0	2	10	12
ABCA3	6603	0	1	275	23	0	0	164	0	136	1	210	1	1	1	0	0	13	0	223	0	7	6	21
ABCA4	7708	1	0	0	0	90	0	104	0	44	0	24	0	0	0	0	0	0	0	0	0	0	1	0
ABCA5	5292	15	0	11	11	54	8	1	0	20	0	202	0	40	33	0	0	195	49	519	0	64	153	141
ABCA6	6853	0	0	3	29	65	0	42	0	0	50	6	0	19	157	0	0	0	0	24	0	156	162	91
ABCA7	7545	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	3
ABCA9	8393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	3
ABCB10	4096	835	694	790	140	938	113	274	2	1327	187	2662	69	1062	129	932	53	1215	294	2301	0	123	190	203
ABCB11	6493	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABCB1	4460	264	306	930	476	207	148	939	247	585	124	62	252	191	210	100	121	537	123	831	465	2121	2090	2170
ABCB4	3997	0	0	0	1	0	0	0	0	0	0	0	0	57	5	0	0	0	0	115	0	27	16	20
ABCB5	4834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCB6	3248	2879	81	2174	315	2290	61	235	781	437	367	95	81	155	81	6	15	3256	1157	2532	4	205	257	352
ABCB7	3976	119	1	196	108	197	66	165	0	6	30	0	1	4	28	20	3	0	18	282	0	241	291	278
ABCB8	4216	1585	398	1407	232	1909	263	2060	1335	1553	333	546	382	508	6	144	20	2055	384	2597	1153	84	122	177
ABCB9	3641	0	1	397	61	0	26	0	0	40	0	18	0	38	0	0	0	0	8	217	0	2	4	4
ABCC10	5219	130	0	4	14	1	0	0	0	0	3	179	0	96	36	0	22	47	3	28	0	34	22	30
ABCC11	5248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	5
ABCC12	4849	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	15	11	3
ABCC1	6267	809	483	254	336	620	206	471	206	705	162	549	748	126	124	141	35	1015	352	1560	1	88	82	72
ABCC2	9964	0	0	0	3	149	0	471	0	51	0	251	0	115	0	406	0	0	0	236	0	44	28	74
ABCC3	5111	91	1	0	0	54	0	0	68	0	0	34	0	0	0	3	0	0	0	0	0	9	14	9
ABCC5	11089	280	226	401	343	406	10	22	1026	102	15	278	128	58	374	21	17	396	344	1075	1	1113	1319	1091
ABCC6	5263	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC8	5062	0	134	0	32	0	0	0	0	101	0	87	0	53	0	0	0	0	0	0	0	0	1	0
ABCC9	9338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1
ABCD1	3534	0	7	116	11	1	142	97	0	72	2	11	8	17	51	0	0	5	98	166	0	7	10	4
ABCD2	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0
ABCD3	3455	100	263	81	61	56	146	98	296	102	3	304	7	2	159	157	48	0	115	223	0	680	731	667
ABCD4	3453	213	305	57	77	213	87	272	0	277	29	32	68	97	302	236	2	222	41	163	0	66	51	73
ABCE1	3844	531	255	763	208	132	110	182	250	27	26	28	84	36	169	49	126	2180	313	502	2305	2916	2444	2709
ABCF1	3506	721	1605	222	717	661	97	244	190	369	12	158	454	92	516	155	94	1073	728	391	1229	923	1153	1206
ABCF2	2698	1191	378	617	249	143	88	1253	0	929	48	3587	62	858	142	1216	61	2947	1127	1952	385	344	453	545
ABCF3	3083	4660	2490	2235	1381	6668	2672	2968	2041	3970	1569	11238	2615	1067	382	2124	270	3566	3225	5160	790	605	673	751
ABCG1	7524	0	0	0	0	233	0	0	0	0	0	0	0	19	0	0	0	0	0	29	0	5	16	1
ABCG2	4179	0	2	0	82	20	27	31	8	121	0	155	70	28	105	0	1	1	73	102	1	671	346	290
ABCG4	3768	0	0	64	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	1	4	0
ABCG5	2091	0	0	1	0	0	0	0	0	0	0	0	0	26	0	1	0	6	0	54	0	1	2	6
ABCG8	2791	0	0	0	4	0	0	0	0	320	0	501	0	68	0	0	0	0	0	0	0	0	2	4
ABHD10	1410	56	449	199	25	0	0	339	456	88	5	231	103	67	0	268	2	381	63	3	1	426	421	526
ABHD11	1145	17600	8900	14448	4966	16286	4980	6139	5952	3631	1790	3385	5432	2626	2601	2628	545	12920	16052	16920	10073	1543	1649	2102
ABHD1	1412	152	0	0	0	1	0	0	0	68	0	0	0	32	0	0	0	0	4	7	0	13	1	15
ABHD12	3983	6922	1533	4610	669	4882	1106	2890	2625	2062	424	1857	929	627	286	54	123	4772	2258	5035	80	296	428	461
ABHD12B	2108	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	7
ABHD13	5276	87	101	8	9	26	27	189	0	29	0	6	13	31	8	0	3	1	1	24	0	299	240	177
ABHD14A	1919	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	295	0	2	5	4
ABHD14B	2627	262	0	227	0	624	36	0	0	0	0	2	0	106	0	12	14	0	252	1073	0	18	29	47
ABHD15	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABHD16A	2079	5292	454	2208	763	2885	8	1516	553	1357	235	1159	575	928	250	102	9	2775	1509	4972	1	289	346	359
ABHD16B	1685	177	0	0	4	824	0	0	0	24	0	185	223	38	1	238	0	0	81	506	0	8	5	6
ABHD17A	1477	966	2169	2237	686	4995	639	2137	616	1396	190	888	1378	1203	274	710	86	1280	1396	1173	55	131	226	239
ABHD17B	2636	45	26	87	132	6	40	0	0	65	9	80	138	40	5	3	1	208	1	72	0	405	554	459
ABHD17C	2290	121	433	293	94	215	9	303	286	1	169	204	396	125	194	51	10	49	12	541	0	312	370	321
ABHD18	3595	320	107	232	17	57	2	0	860	110	34	87	131	142	4	303	92	916	73	400	0	1298	1463	1165
ABHD2	7919	438	100	1027	95	745	67	812	44	158	28	298	332	271	11	350	4	799	398	978	34	76	103	88
ABHD3	1916	0	0	0	20	187	0	0	0	11	0	17	0	20	5	0	0	0	0	167	0	177	257	193
ABHD4	2559	1878	265	1793	140	1300	0	487	1188	321	179	1297	175	375	0	688	6	1353	687	868	0	61	109	48
ABHD5	2959	19	3	0	14	2	0	2	0	0	0	4	388	0	14	0	4	22	18	90	0	142	148	144
ABHD6	2179	734	491	717	70	158	137	10	4	644	269	2780	116	1205	4	0	0	1351	85	302	2	195	221	183
ABHD8	1910	842	40	1135	90	319	18	1055	484	371	9	319	192	143	0	333	93	825	534	669	132	7	5	6
ABI1	4590	441	649	527	84	147	22	958	161	206	74	691	363	200	128	193	230	212	238	566	0	997	861	935
ABI2	6297	0	14	6	15	127	0	0	0	69	0	9	97	13	2	45	0	0	0	81	0	51	90	47
ABI3	1389	0	0	1	4	1	6	0	0	2	17	1	3	30	0	0	0	0	0	0	0	3	3	1
ABI3BP	5967	0	0	0	0	0	0	0	0	10	0	0	2	57	0	0	0	5	0	227	0	33	46	34
ABL1	5757	448	37	527	80	2176	47	1122	554	1983	221	2277	328	832	35	281	1	730	3	1137	0	43	61	89
ABL2	13773	26	258	25	183	9	85	296	41	61	7	5	318	74	61	0	53	282	58	348	0	270	269	332
ABLIM1	8479	314	136	173	240	168	75	51	3	718	30	1166	36	260	4	11	32	474	298	363	1	171	249	373
ABLIM2	5347	0	0	0	10	4	0	0	62	122	0	93	0	45	0	0	0	0	0	339	0	2	1	5
ABLIM3	4656	2	0	158	31	245	0	237	0	421	0	484	624	528	1	1	0	5	63	95	0	29	37	32
ABO	2572	0	0	0	0	37	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	10	18	5
ABR	8010	1172	872	2372	650	2559	540	756	336	1484	39	2115	876	760	287	128	6	853	1588	2731	885	208	327	355
ABRA	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	10	8	0
ABRACL	842	0	0	0	0	0	1	118	0	58	0	0	0	9	4	0	0	159	45	14	566	62	145	99
ABRAXAS1	2629	36	195	108	6	124	0	88	0	136	0	21	2	59	34	302	0	116	2	195	0	758	680	504
ABRAXAS2	2954	105	3	4	78	16	0	72	0	140	1	18	47	4	0	538	2	596	29	44	0	418	438	465
ABT1	2201	436	182	1008	288	1132	493	775	1510	1296	400	1448	1608	1537	273	729	8	639	924	1149	1	362	344	314
ABTB1	2351	4225	2556	4803	431	3455	981	680	2	1464	462	1170	829	589	51	357	11	3673	2037	6928	1260	125	264	411
ABTB2	5224	327	57	124	72	1	1	0	0	75	12	100	41	99	26	56	0	619	319	236	0	71	73	73
ACAA1	1618	6513	1310	2560	1075	1617	560	664	1564	765	58	1058	395	673	112	1299	23	5175	4894	7507	4259	259	454	427
ACAA2	1581	642	12	264	86	229	0	39	0	0	0	466	1	127	1	2	0	1474	304	528	0	615	717	782
ACACA	10293	40	702	477	372	154	164	38	18	211	78	238	51	138	56	8	8	446	444	447	2061	246	360	360
ACACB	10457	1	28	406	2	89	0	0	0	1	0	83	0	37	0	89	0	0	21	0	0	5	12	5
ACAD10	6212	0	0	0	10	0	0	0	54	11	13	0	102	9	0	0	0	52	0	17	0	22	26	45
ACAD11	3499	9	179	11	3	0	7	0	2	11	0	0	0	13	0	13	0	0	13	0	0	63	96	81
ACAD8	1700	676	545	431	44	483	110	132	0	140	40	28	105	2	220	36	1	139	440	289	1157	124	195	153
ACAD9	2793	77	434	451	115	73	0	113	1	55	2	171	35	3	470	0	0	788	641	1204	0	63	214	233
ACADL	2846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	55	108	73
ACADM	2235	130	29	175	148	122	1	153	24	42	0	0	216	1	23	6	1	409	158	221	1	1162	752	916
ACADS	2005	1737	91	48	93	363	182	106	0	222	1	211	0	128	57	11	0	7	455	979	0	28	41	28
ACADSB	4389	0	14	8	0	58	29	12	1	19	0	91	0	26	35	0	0	0	11	1	0	30	31	31
ACADVL	2246	432	221	13	149	155	13	715	0	466	3	359	467	4	80	168	196	440	381	1145	0	115	152	181
ACAN	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	5407	9986	3648	6191	2125	9137	2875	3951	4926	3890	2352	4265	5534	1834	2096	1474	407	8876	6022	11990	2917	899	924	749
ACAP2	1593	31	2	0	18	36	0	0	0	49	0	15	28	11	6	53	3	65	0	32	0	88	125	135
ACAP3	5028	106	0	1	0	201	0	1	0	110	60	29	0	167	0	0	0	0	131	2	1	5	4	13
ACAT1	1549	94	1006	208	180	158	550	442	56	178	13	230	19	12	32	16	75	697	213	884	1	3473	2455	3381
ACAT2	1664	1167	43	1506	71	62	60	92	43	129	35	630	4	230	31	147	1	1402	826	687	865	368	484	765
ACBD3	3898	27	60	25	86	48	21	22	0	21	126	42	42	34	93	29	3	83	45	143	47	646	719	654
ACBD4	4030	218	0	190	49	208	0	65	0	91	0	183	10	86	0	1	0	0	66	37	0	15	4	0
ACBD5	3909	53	183	191	27	254	0	42	1	26	0	43	234	13	0	23	9	112	31	169	0	376	362	423
ACBD6	1492	51	111	23	59	43	0	0	0	9	0	11	11	4	0	32	0	0	11	81	0	33	114	70
ACBD7	1694	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	71	93	60
ACCS	2403	0	0	0	5	0	0	0	0	5	3	0	0	23	0	0	0	6	14	164	0	9	1	1
ACCSL	2414	1129	4	1007	50	2284	292	2448	0	4386	760	9920	615	4362	40	2631	71	1394	3	2265	0	43	88	163
ACD	1778	1769	292	510	211	44	219	452	36	413	469	1010	363	1185	17	363	3	584	488	1254	1081	33	61	104
ACE2	4061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1
ACE3	2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	3	4	0
ACE	4671	89	0	0	0	0	0	15	0	2	0	243	0	0	0	1	0	0	0	0	0	3	0	3
ACER1	3051	1	0	44	0	0	0	3	0	9	119	0	0	12	0	0	0	0	0	8	0	7	4	6
ACER2	8643	218	0	0	0	0	2	0	0	1	0	3	0	27	0	0	0	0	0	51	0	27	26	10
ACER3	2926	451	857	906	162	168	88	230	0	167	0	219	31	72	382	1	1	679	248	859	1	2159	2236	1796
ACHE	4224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACIN1	5096	1435	2363	1859	826	2035	546	1839	1166	989	355	454	693	359	541	414	238	1204	2016	1184	1154	917	1129	1181
ACKR1	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	1	6	6
ACKR2	9839	81	0	69	0	17	10	18	0	0	0	10	0	7	0	0	0	0	0	12	0	27	27	32
ACKR3	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	3365	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	19	0	10	5	0
ACLY	4446	1662	365	881	374	1512	217	610	1049	1381	37	1517	221	877	420	636	8	1498	17	1105	2472	936	1227	1237
ACMSD	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	3948	16	227	30	64	237	15	90	0	25	0	61	23	26	83	10	0	101	90	606	0	64	123	105
ACO2	2744	8590	1691	4845	1378	3419	432	1885	1489	5067	1083	3918	346	1695	621	1021	31	4171	4671	4217	1586	235	447	629
ACOD1	3020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ACOT11	2619	138	0	0	0	414	0	0	0	1	0	208	0	63	2	0	0	270	0	117	0	27	28	26
ACOT12	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	25
ACOT13	1763	221	275	0	2	0	0	153	0	0	0	0	31	1	2	1	0	0	22	0	0	131	159	148
ACOT2	5967	253	0	479	48	169	0	0	549	0	4	242	53	58	3	453	22	153	153	559	0	90	116	86
ACOT4	1611	403	81	171	7	0	0	0	0	72	0	0	0	0	0	0	0	83	0	55	0	47	40	58
ACOT6	1990	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	495	0	6	0	41	57	46
ACOT7	3132	3092	1512	1713	538	3179	906	660	516	633	161	679	2532	896	601	419	70	1530	1811	3193	271	196	465	282
ACOT8	1963	3454	633	2570	657	2187	597	471	2	672	0	570	555	340	548	1043	1	737	1850	1504	1301	49	89	108
ACOT9	1655	104	967	231	130	2	220	121	0	76	43	17	37	6	123	0	49	8	285	737	102	670	1064	915
ACOX1	6337	111	636	1038	426	160	6	612	0	287	0	79	113	122	214	23	14	158	565	472	1	942	1370	1108
ACOX2	3208	0	0	170	6	0	0	389	0	32	0	131	126	0	0	1	0	0	19	14	280	58	70	63
ACOX3	4221	276	249	292	113	236	78	0	0	25	9	0	0	61	24	0	0	0	2	158	0	52	49	46
ACOXL	4504	0	0	0	0	109	0	0	0	0	0	12	0	32	0	0	0	0	0	17	0	3	6	0
ACP1	1345	640	1786	2285	480	1108	452	2074	2	1122	91	568	19	318	62	686	2	1368	528	805	563	1592	1837	2083
ACP2	5886	6	0	0	67	397	0	0	0	99	0	149	100	116	0	1	0	462	0	539	0	3	16	14
ACP4	1362	0	0	34	28	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0
ACP5	1962	537	7	589	92	1681	0	208	51	583	0	0	0	25	31	0	0	758	227	467	0	4	48	29
ACP6	1813	2	10	258	18	334	0	3	719	62	135	506	0	150	1	402	0	0	78	256	0	96	113	67
ACP7	1317	0	0	0	83	1	0	0	0	0	0	0	0	6	0	0	0	61	0	0	0	6	6	1
ACPP	3337	0	67	0	0	0	0	0	0	126	1	0	0	0	0	0	0	0	0	0	0	36	24	25
ACR	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACRBP	1893	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
ACRV1	1171	1	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	79	0	6	6	7
ACSBG1	2900	0	0	0	2	87	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	8	1
ACSBG2	2951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	2011	352	0	56	20	5	26	0	0	174	66	27	15	134	1	0	4	608	123	264	32	70	106	114
ACSF3	2438	240	1	320	0	0	37	0	0	10	0	39	0	51	0	11	0	0	0	648	0	26	24	7
ACSL1	4824	1	7	49	52	235	3	174	0	3	0	208	34	168	25	5	7	3	49	587	11	232	288	188
ACSL3	4381	1080	639	905	388	607	84	449	220	303	62	209	571	149	487	185	84	2330	93	2185	2	2794	4078	2683
ACSL4	5496	139	191	122	204	46	35	845	17	232	9	54	142	72	251	16	26	1117	244	258	3	2027	2369	1704
ACSL5	2891	0	0	0	0	0	8	0	0	130	0	1	0	0	0	4	0	98	4	0	0	2	3	8
ACSL6	6223	1078	1	564	140	1000	0	0	8	266	21	0	0	4	6	778	4	566	79	657	1960	548	925	739
ACSM1	2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	1
ACSM2B	3089	0	0	0	11	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	13
ACSM3	2144	0	58	0	5	0	1	0	1	12	3	0	0	4	0	22	2	0	17	0	0	97	76	116
ACSM4	5942	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	33	0	0	0	4	3	0
ACSM5	2946	0	0	0	0	0	0	0	0	6	0	49	0	0	0	0	0	0	0	0	0	0	8	2
ACSS1	3458	1225	932	1290	323	1256	936	974	72	372	100	589	346	199	198	980	20	2969	1473	3766	233	221	436	339
ACSS2	2993	152	1	0	0	11	0	0	0	0	0	0	0	22	0	0	0	56	0	13	0	3	9	6
ACSS3	4559	0	0	0	0	0	0	1	0	0	0	29	0	0	0	0	0	0	0	0	0	16	22	2
ACTA1	1623	1	215	249	0	0	0	164	0	67	108	115	221	53	0	0	1	0	34	88	0	28	17	15
ACTA2	2059	36	0	541	5	3	0	289	10	242	0	148	319	76	1	0	0	1	34	141	0	120	76	60
ACTB	1832	215227	72495	125512	37944	81286	25720	40170	34844	63036	17038	78643	62891	52528	28270	39913	3841	179316	200553	187064	83021	23308	27792	29049
ACTBL2	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	1391	0	0	0	3	0	0	0	0	153	0	20	0	1	0	8	0	539	0	44	2	6	1	9
ACTG1	1956	88338	25241	54445	14748	32819	9867	16973	12168	21035	5493	20096	18788	17367	14618	15110	1064	81084	78727	95275	10166	20088	30990	25523
ACTG2	1287	0	261	0	1	0	0	0	0	0	0	0	0	0	0	0	4	39	0	0	0	0	5	73
ACTL6A	1920	1297	524	507	159	246	180	125	62	128	109	153	7	101	45	584	66	895	683	2249	0	1394	1603	1515
ACTL6B	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTL7A	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	1407	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTL8	1855	0	0	17	0	1	0	0	0	85	6	211	0	45	0	0	0	0	13	2	0	1	0	0
ACTL9	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	3853	2130	1321	2758	462	700	405	2266	56	1859	47	5998	989	1850	639	1310	251	4362	1057	5318	2221	779	1432	1049
ACTN2	2925	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	3	7	1
ACTN3	2996	0	3	296	54	0	0	0	0	0	63	0	173	78	4	0	0	0	150	0	0	7	15	22
ACTN4	4623	281	278	191	122	16	112	233	3	167	46	438	80	128	121	45	26	276	274	540	0	78	136	117
ACTR10	1553	178	49	551	65	112	7	9	0	13	0	214	1	65	1	347	0	268	255	574	2569	1276	1519	1397
ACTR1A	2909	6671	1819	2695	904	4483	654	2920	135	2762	3	4913	1377	918	85	255	5	4779	3799	6343	3	377	417	565
ACTR1B	2590	121	17	56	43	0	0	0	16	0	0	2	5	9	1	1	0	0	13	23	0	32	29	31
ACTR2	2751	334	82	934	153	103	60	71	891	46	56	53	179	28	32	11	64	26	353	653	78	1233	1200	1323
ACTR3	2506	83	105	341	209	15	108	229	25	32	11	18	145	115	147	62	37	427	122	630	0	2584	2874	2882
ACTR3B	5207	22	0	116	32	6	72	0	2	61	30	83	0	1	0	0	0	0	23	15	0	37	35	33
ACTR5	3182	796	85	250	84	331	5	0	1	476	314	672	270	495	0	0	1	752	369	690	0	150	214	126
ACTR6	1868	20	0	35	10	3	171	270	0	29	0	20	0	5	41	0	2	0	4	89	0	1112	926	882
ACTR8	2196	1	28	8	52	105	7	0	0	62	0	0	0	20	11	3	1	88	10	441	0	384	318	467
ACTRT2	1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	2438	1	0	6	0	0	1	0	1	73	0	190	0	92	0	9	0	0	0	0	0	89	66	59
ACVR1	3087	346	29	446	33	10	0	0	0	285	29	47	15	207	68	0	12	284	121	248	0	267	387	323
ACVR1B	4988	126	11	179	21	296	44	1	15	15	6	500	14	47	2	0	3	1	2	64	20	32	46	64
ACVR1C	1714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1
ACVR2A	4405	281	33	16	30	16	65	62	57	166	89	70	196	33	130	688	3	8	1	112	0	440	444	350
ACVR2B	11740	1183	2242	573	1090	2151	548	1457	530	933	334	712	799	482	48	870	274	1157	347	1525	13	339	440	459
