name	length	Blastocyst_SRR17972766_Rep1_R1	Blastocyst_SRR17972767_Rep1_R1	Blastocyst_SRR17972768_Rep1_R1	Blastocyst_SRR17972769_Rep1_R1	Blastocyst_SRR17972770_Rep1_R1	Blastocyst_SRR17972771_Rep1_R1	Blastocyst_SRR17972772_Rep1_R1	Blastocyst_SRR17972773_Rep1_R1	Blastocyst_SRR17972774_Rep1_R1	Blastocyst_SRR17972775_Rep1_R1	Blastocyst_SRR17972776_Rep1_R1	Blastocyst_SRR17972777_Rep1_R1	Blastocyst_SRR17972778_Rep1_R1	Blastocyst_SRR17972779_Rep1_R1	Blastocyst_SRR17972780_Rep1_R1	Blastocyst_SRR17972781_Rep1_R1	Blastocyst_SRR17972782_Rep1_R1	Blastocyst_SRR17972783_Rep1_R1	Blastocyst_SRR17972784_Rep1_R1	Blastocyst_SRR17972785_Rep1_R1	Blastocyst_SRR17972814_Rep1_R1	Blastocyst_SRR17972815_Rep1_R1	Blastocyst_SRR17972816_Rep1_R1
ABCB10	4096	367	361	322	624	580	627	404	358	1054	178	250	135	155	396	476	294	176	59	1	17	259	205	113
ABCB11	6493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	2
ABCB1	4460	1717	456	843	1084	932	751	703	749	327	1076	629	537	562	381	177	88	179	341	431	284	863	885	581
ABCB4	3997	0	5	0	5	0	0	17	61	0	24	0	0	0	0	0	0	0	0	0	0	4	7	8
ABCB5	4834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1
ABCB6	3248	1954	2679	1016	2301	1879	2923	885	1679	805	1008	371	911	2	438	183	83	276	229	22	368	863	959	509
ABCB7	3976	97	67	462	74	30	236	28	144	1	31	1	0	124	33	91	31	47	46	0	38	121	150	93
ABCB8	4216	529	690	445	1453	956	1331	740	980	993	741	141	619	241	583	374	96	292	32	2	165	176	114	145
ABCB9	3641	0	22	71	30	2	44	39	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	8
ABCC10	5219	34	126	41	209	0	1	0	73	93	0	50	0	37	0	0	0	15	0	0	0	18	23	12
ABCC11	5248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6
ABCC12	4849	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4
ABCC1	6267	608	281	168	317	137	218	808	152	96	202	30	94	3	428	269	444	71	88	313	1	74	80	46
ABCC2	9964	114	132	195	68	36	54	54	22	10	1	10	95	28	0	11	138	127	2	0	7	111	157	80
ABCC3	5111	0	22	8	395	0	1	0	0	0	0	0	0	0	7	0	48	23	1	16	22	25	16	15
ABCC5	11089	257	658	358	299	740	555	346	737	149	210	437	430	154	390	413	132	308	385	7	32	515	633	286
ABCC6	5263	0	0	0	9	0	0	0	31	0	0	0	0	0	0	99	0	0	0	0	0	5	8	4
ABCC8	5062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	5
ABCC9	9338	0	0	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	14	26	10
ABCD1	3534	9	67	8	13	89	68	18	22	6	42	33	0	20	5	25	153	18	1	0	20	23	20	29
ABCD2	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ABCD3	3455	125	193	116	31	79	114	364	292	548	182	6	10	150	40	27	110	77	144	360	66	541	485	279
ABCD4	3453	8	140	269	337	180	353	1	127	341	21	1	353	0	106	2	30	151	11	31	8	36	102	39
ABCE1	3844	204	74	600	141	88	378	257	58	39	165	60	118	288	284	510	496	219	200	380	52	367	381	163
ABCF1	3506	608	667	308	398	441	615	356	460	105	631	344	123	365	51	210	115	106	245	347	116	480	614	348
ABCF2	2698	34	317	285	610	138	227	22	446	41	106	103	32	59	64	468	57	138	39	197	88	113	78	71
ABCF3	3083	1769	2077	1111	1873	651	903	821	687	939	886	219	180	1065	536	146	325	86	76	3	170	287	239	198
ABCG1	7524	68	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCG2	4179	20	41	28	45	37	203	30	5	142	102	5	94	10	1	0	0	19	0	1	2	15	11	10
ABCG4	3768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	3	4	3
ABCG5	2091	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	3
ABCG8	2791	0	0	0	0	0	17	0	0	0	0	0	0	158	0	0	0	0	33	0	0	6	3	3
ABHD10	1410	3	162	234	247	278	342	517	338	49	88	145	0	15	417	93	62	96	7	0	2	129	132	80
ABHD11	1145	12252	13975	12104	12833	13892	13721	10401	11801	6561	5306	3790	4014	3835	4062	2874	2562	1141	1387	212	846	621	542	451
ABHD1	1412	38	12	0	3	116	14	77	0	44	2	0	0	167	1	0	0	0	0	0	0	3	3	1
ABHD12	3983	6236	8116	3716	5436	7389	6734	4642	5950	3210	3278	1311	2219	2828	1536	770	1099	782	512	5	222	516	594	355
ABHD12B	2108	0	0	0	5	7	12	73	0	0	0	0	0	0	0	0	0	0	1	0	6	15	24	11
ABHD13	5276	16	15	25	50	6	198	202	66	35	85	74	23	94	87	19	25	12	35	2	1	163	159	92
ABHD14A	1919	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1
ABHD14B	2627	306	136	383	313	200	538	269	380	67	6	21	20	1	7	179	102	0	109	0	7	73	144	19
ABHD15	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABHD16A	2079	1267	2028	2153	2144	1949	2340	1279	1490	438	1077	222	746	339	67	978	193	340	409	2	294	572	477	308
ABHD16B	1685	2	34	77	144	195	281	243	0	10	0	0	383	0	0	0	1	1	0	0	0	9	3	5
ABHD17A	1477	2631	1045	1039	1004	1349	935	854	1042	1659	970	378	676	566	332	167	972	39	280	0	22	139	104	112
ABHD17B	2636	0	50	9	28	0	135	51	3	114	3	0	1	33	3	7	8	1	14	0	12	348	324	176
ABHD17C	2290	63	63	810	30	3	216	105	16	126	199	19	23	5	10	230	69	126	150	41	98	292	337	158
ABHD18	3595	25	2	239	123	116	186	29	155	71	26	15	113	113	52	49	14	19	40	1	2	177	176	106
ABHD2	7919	1551	1172	668	762	467	1048	176	264	551	827	177	365	860	86	402	278	239	128	35	101	277	284	154
ABHD3	1916	2	0	0	9	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	8	13
ABHD4	2559	266	392	353	441	209	51	657	92	73	174	4	0	273	10	81	140	242	56	2	0	60	51	74
ABHD5	2959	9	22	4	93	19	1	0	0	0	32	8	17	0	14	0	17	45	2	0	0	29	40	17
ABHD6	2179	163	196	330	318	141	270	0	267	101	76	0	172	99	1	2	15	55	64	0	18	124	99	69
ABHD8	1910	2	170	402	118	160	434	145	234	52	46	3	2	0	48	0	23	0	4	0	93	5	3	5
ABI1	4590	266	175	599	254	119	195	292	83	157	149	102	197	182	186	259	211	201	286	119	42	821	735	385
ABI2	6297	0	0	0	21	0	0	0	0	0	8	128	0	0	0	3	0	0	0	0	0	23	23	36
ABI3	1389	0	0	56	5	0	21	0	12	0	1	21	65	190	0	0	0	0	7	0	0	4	7	8
ABI3BP	5967	1	0	19	5	0	0	0	0	0	1	0	0	0	0	0	0	30	0	0	0	16	18	17
ABL1	5757	192	19	153	28	18	3	163	83	39	104	51	18	30	544	8	42	7	51	0	5	88	66	79
ABL2	13773	7	50	161	177	38	157	194	104	54	294	18	48	6	100	210	133	148	77	441	50	172	225	118
ABLIM1	8479	121	211	255	233	281	35	185	206	120	298	269	110	126	38	807	107	232	28	1370	61	136	154	141
ABLIM2	5347	341	110	132	103	340	148	20	64	84	59	3	0	0	0	201	71	0	23	0	0	13	7	14
ABLIM3	4656	0	0	1	0	0	0	4	153	0	2	112	0	1	121	419	0	309	0	0	0	5	10	2
ABO	2572	557	113	0	0	103	0	0	0	0	22	0	24	0	0	0	0	0	18	0	0	12	37	8
ABR	8010	587	1079	812	847	1188	1072	507	207	308	819	1099	266	438	552	459	152	244	142	49	237	538	391	316
ABRA	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	42	0	0	1	3	0
ABRACL	842	33	56	0	18	0	10	111	33	44	2	2	25	0	0	0	3	13	7	0	3	233	195	63
ABRAXAS1	2629	64	18	55	138	0	227	88	70	0	49	23	117	37	4	38	34	51	0	0	6	196	191	139
ABRAXAS2	2954	93	21	237	65	30	84	4	193	22	126	0	12	4	0	0	23	0	11	0	0	61	63	53
ABT1	2201	695	534	1019	769	266	343	6	168	228	137	351	617	207	212	340	140	270	266	1	61	308	284	163
ABTB1	2351	1066	1415	1222	1561	782	1828	738	1321	360	1200	280	687	477	340	290	698	29	79	0	16	231	182	136
ABTB2	5224	1	126	0	37	6	42	118	1	13	103	0	113	14	4	231	45	3	26	0	2	70	97	48
ACAA1	1618	2786	3850	2239	4107	2451	3938	1739	2699	1664	1424	46	629	21	578	1026	821	75	114	3	63	518	492	339
ACAA2	1581	15	175	595	420	334	106	9	231	8	154	20	99	74	24	0	28	0	1	0	61	145	189	130
ACACA	10293	176	591	398	273	225	370	711	133	48	107	20	23	217	227	8	292	10	100	1	113	187	202	207
ACACB	10457	0	0	0	0	0	4	27	14	0	0	0	0	0	0	0	1	28	36	0	0	4	9	10
ACAD10	6212	21	18	55	15	2	1	0	0	0	46	0	0	0	0	0	0	6	0	0	3	32	37	36
ACAD11	3499	0	4	44	18	0	7	0	3	0	0	0	16	0	70	1	0	8	15	0	3	30	14	28
ACAD8	1700	633	513	122	598	206	416	60	426	53	9	1	0	96	83	13	0	84	103	0	13	142	131	104
ACAD9	2793	835	776	300	656	666	331	554	1369	73	274	26	35	0	2	190	134	66	190	15	102	277	284	113
ACADL	2846	0	0	2	62	64	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	10	12	3
ACADM	2235	276	69	187	144	89	384	20	378	2	63	187	50	40	90	116	2	41	6	0	7	295	340	194
ACADS	2005	641	818	497	649	700	824	713	510	34	349	236	2	122	146	0	71	210	135	17	60	116	122	91
ACADSB	4389	21	114	9	18	0	6	75	0	0	19	0	0	0	0	0	39	6	0	0	4	40	38	44
ACADVL	2246	566	454	25	370	249	285	101	164	45	118	11	55	9	298	662	100	5	31	17	21	86	75	41
ACAN	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5
ACAP1	5407	3222	2782	2784	3239	4494	3159	3303	2997	2478	1888	1841	1872	970	2056	1528	306	1451	683	5	434	268	240	210
ACAP2	1593	2	0	0	47	10	0	0	7	0	0	0	0	1	0	0	0	150	0	0	29	17	47	29
ACAP3	5028	0	0	0	29	7	1	0	0	0	11	0	0	132	0	0	10	0	0	0	0	7	7	3
ACAT1	1549	127	361	1178	672	302	402	30	99	34	11	90	2	43	100	80	116	127	118	8	67	664	430	401
ACAT2	1664	1777	1125	1404	1137	594	1053	902	791	313	395	476	387	261	59	8	292	126	181	2	19	450	537	261
ACBD3	3898	50	78	208	81	83	26	31	142	15	105	11	59	1	106	189	88	21	74	0	144	361	356	204
ACBD4	4030	0	65	0	130	0	117	32	93	95	165	8	0	5	0	0	40	0	1	0	0	10	10	8
ACBD5	3909	34	83	127	105	4	43	67	66	57	49	89	39	1	29	191	17	38	10	0	22	289	295	137
ACBD6	1492	374	135	184	147	30	71	72	59	144	219	0	150	0	23	9	12	156	67	0	3	71	94	62
ACBD7	1694	0	0	0	1	195	0	0	0	0	15	0	59	0	0	0	0	0	0	0	8	12	10	6
ACCS	2403	0	0	55	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	1
ACCSL	2414	7	8	0	38	18	0	48	0	53	112	628	39	142	287	1468	0	133	1	3	2	27	22	143
ACD	1778	670	546	375	381	264	337	651	426	20	457	258	0	0	4	193	306	26	31	2	9	51	38	22
ACE2	4061	0	0	81	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	2	1	0
ACE3	2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0
ACE	4671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ACER1	3051	0	1	19	1	12	2	5	0	10	0	0	0	0	0	0	0	0	0	0	0	3	4	4
ACER2	8643	1	0	7	12	0	0	0	180	0	0	3	0	0	0	0	0	49	8	30	25	23	54	7
ACER3	2926	287	193	465	511	307	847	808	454	30	97	91	309	102	225	20	60	113	194	13	38	480	487	258
ACHE	4224	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ACIN1	5096	2542	1870	1659	1818	1634	2168	1928	2199	1042	1197	1145	1335	449	972	734	762	917	645	5	411	475	470	322
ACKR1	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	8	6
ACKR2	9839	12	33	13	50	61	2	102	0	2	3	3	0	0	0	0	3	101	0	0	1	25	26	16
ACKR3	1730	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	2
ACKR4	3365	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	23	0	2	1	0	6
ACLY	4446	660	834	1824	1395	780	1208	769	1387	766	481	497	801	438	278	1018	553	1633	1016	281	733	6108	5056	2391
ACMSD	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ACO1	3948	27	160	136	172	172	102	115	161	44	161	36	1	116	31	132	341	0	225	1	75	144	164	76
ACO2	2744	3836	5557	4087	2914	3106	5124	5094	3381	3699	2359	2565	3705	3230	1133	794	979	683	423	1554	230	218	205	132
ACOD1	3020	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
ACOT11	2619	0	0	0	76	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	9	3
ACOT12	1794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2
ACOT13	1763	28	53	0	55	0	66	259	0	0	6	38	213	0	23	14	104	9	1	0	0	89	101	44
ACOT2	5967	1	82	71	29	158	128	324	10	0	0	8	1	3	1	44	4	4	31	0	2	177	186	66
ACOT4	1611	8	0	147	0	33	34	0	24	0	65	0	0	0	0	10	0	82	50	0	3	58	50	27
ACOT6	1990	0	0	18	0	0	0	2	50	0	0	0	9	0	0	0	0	0	0	0	0	13	13	5
ACOT7	3132	4090	2754	1005	2119	1527	2642	2398	2530	841	598	764	716	694	741	896	1216	1279	893	3	319	379	359	213
ACOT8	1963	2332	2039	1621	2019	1049	2146	976	1309	242	848	113	610	314	921	117	71	37	0	1	23	27	44	18
ACOT9	1655	278	221	73	127	73	701	56	101	341	258	2	41	0	64	14	22	170	45	0	30	273	224	223
ACOX1	6337	52	413	588	213	107	297	159	58	213	403	341	221	199	28	36	122	88	140	1	40	522	486	240
ACOX2	3208	0	7	0	0	0	72	0	0	0	0	42	36	0	41	0	0	0	0	0	0	31	34	12
ACOX3	4221	220	247	72	77	174	178	246	364	1	243	29	112	9	0	0	12	8	49	0	10	59	50	41
ACOXL	4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	2
ACP1	1345	800	711	2814	1321	582	1524	1838	970	919	1272	217	926	498	193	250	506	273	317	384	115	855	838	476
ACP2	5886	24	176	114	25	168	78	2	44	3	0	12	0	0	0	0	0	1	0	0	37	15	17	14
ACP4	1362	0	20	33	60	0	9	0	0	0	0	0	72	0	0	0	0	0	0	0	0	5	4	1
ACP5	1962	689	433	755	621	376	447	139	739	270	340	0	15	17	259	17	142	16	62	0	0	80	87	67
ACP6	1813	46	149	16	188	0	16	0	16	6	42	0	0	38	0	0	0	209	0	0	0	22	20	11
ACP7	1317	0	0	0	2	5	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	1	2	1
ACPP	3337	11	11	0	0	125	0	0	0	0	7	0	200	0	0	0	0	0	1	0	0	8	5	6
ACR	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACRBP	1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACRV1	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9
ACSBG1	2900	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	1	4	4
ACSBG2	2951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ACSF2	2011	1065	625	219	452	94	316	137	527	93	293	4	158	427	159	0	72	43	82	0	36	179	219	108
ACSF3	2438	148	89	7	40	22	77	0	0	0	83	138	0	6	0	0	0	3	10	0	5	13	7	7
ACSL1	4824	88	23	77	17	85	91	3	30	2	1	4	19	3	22	58	51	3	13	0	7	136	83	61
ACSL3	4381	1188	1553	2195	2653	1107	1412	861	1194	854	1242	660	547	546	625	1177	518	736	977	1050	518	3988	3809	2234
ACSL4	5496	248	228	892	586	315	58	127	123	180	249	119	204	271	82	519	186	359	170	85	159	769	969	596
ACSL5	2891	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1
ACSL6	6223	101	277	640	502	677	592	58	47	1	114	100	5	3	2	107	128	5	90	0	52	1368	1717	676
ACSM1	2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
ACSM2B	3089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3
ACSM3	2144	0	0	0	0	0	1	3	11	0	1	21	0	62	0	0	18	1	2	14	12	36	40	18
ACSM4	5942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2
ACSM5	2946	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	3
ACSS1	3458	4216	2919	1339	2561	1397	1978	1812	675	1299	388	466	70	567	680	316	530	365	424	3	189	1061	780	579
ACSS2	2993	35	58	63	101	454	0	0	0	0	0	0	0	3	2	1	0	3	23	0	19	11	25	6
ACSS3	4559	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	18	28	12
ACTA1	1623	0	0	0	38	2	0	1	57	0	31	113	147	0	0	1	0	0	0	0	0	1	7	1
ACTA2	2059	494	434	466	340	189	940	108	61	15	5	39	73	0	14	331	0	32	27	1	18	162	112	46
ACTB	1832	199855	177735	137809	131234	89938	125134	66786	80231	59150	45770	37442	47339	46458	41922	79178	49796	51306	47426	7286	12724	60160	59069	27823
ACTBL2	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	1391	486	292	213	90	243	511	309	710	0	256	157	1	1	0	512	15	178	2	1	0	178	176	58
ACTG1	1956	85195	78820	55955	60405	40998	60649	33394	34519	25518	26476	16201	19336	18755	15056	25461	22398	21956	17046	814	4744	30728	32264	15215
ACTG2	1287	96	74	0	51	56	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	5	4
ACTL6A	1920	289	210	568	299	152	358	335	272	7	351	187	78	105	522	171	116	0	0	1	14	46	35	30
ACTL6B	1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	4	1
ACTL7A	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
ACTL7B	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	1855	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTN1	3853	1065	793	1539	1397	784	935	861	780	371	1161	398	344	674	457	571	406	757	774	112	423	1175	909	1013
ACTN2	2925	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ACTN3	2996	0	34	0	47	6	100	391	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	1
ACTN4	4623	352	392	334	484	188	220	216	308	215	198	154	214	381	283	659	461	313	368	35	105	526	344	504
ACTR10	1553	136	61	335	177	0	275	2	4	28	3	116	0	5	5	12	0	17	19	89	8	258	243	156
ACTR1A	2909	3311	2718	2174	1988	1053	2480	1797	970	927	1412	1267	1031	1518	1377	808	1164	579	233	3	45	289	211	198
ACTR1B	2590	6	23	51	127	0	63	15	14	0	11	1	0	4	6	6	87	0	6	0	0	76	50	55
ACTR2	2751	257	195	1133	595	101	302	721	128	140	214	269	135	108	142	105	201	65	88	0	70	1097	1080	444
ACTR3	2506	270	149	754	440	210	244	439	145	147	219	136	278	320	81	458	272	265	355	356	564	2263	2374	1199
ACTR3B	5207	1	16	58	62	56	6	4	106	9	1	0	0	52	0	0	0	9	0	0	2	21	17	17
ACTR5	3182	3	65	53	77	0	55	39	15	129	5	0	11	112	0	0	87	0	11	0	2	44	31	23
ACTR6	1868	4	0	1	4	7	13	0	3	0	7	170	0	1	0	1	0	2	0	24	25	108	83	52
ACTR8	2196	154	289	94	19	55	79	118	92	103	0	162	3	0	0	75	0	26	59	11	8	136	97	70
ACTRT2	1416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTRT3	2438	5	0	0	36	0	48	0	10	0	58	3	0	0	0	0	9	0	0	0	0	13	8	10
ACVR1	3087	25	62	109	79	7	17	14	26	101	10	17	0	2	3	83	147	44	52	1	78	236	246	83
ACVR1B	4988	62	1	3	5	10	119	28	16	1	132	2	0	199	114	112	224	141	3	0	9	67	58	38
ACVR1C	1714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ACVR2A	4405	0	16	424	46	34	69	6	9	60	38	5	29	8	7	0	52	36	19	0	20	74	69	27
ACVR2B	11740	688	1104	1443	1320	833	1441	398	1291	1406	767	515	532	199	944	555	395	276	262	0	230	405	472	281
ACVRL1	2805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4
